# Simulated BNS merger with GW detection; this is based on Patricelli et al . 2016, 2018
#run	MergerID	RA	Dec	Distance	DistMin	DistMax	redshift	theta	n det	SNR	90%C.R.	50%C.R.
#
run0006	MergerID000064	44.388	79.128	2.015989e+05	1.065989e+05	2.199132e+05	0.046	23.807	3	15.640	22.711	5.703
run0006	MergerID000180	-20.079	-19.275	3.286016e+05	1.956016e+05	4.036741e+05	0.074	36.441	2	12.250	1812.455	554.353
run0006	MergerID000192	-111.650	-2.467	1.842832e+05	1.002832e+05	2.082578e+05	0.042	28.193	3	12.330	41.594	10.845
run0006	MergerID000203	71.352	-82.130	1.502173e+05	7.321730e+04	2.272173e+05	0.034	52.831	3	14.370	13.139	3.506
run0006	MergerID000234	90.366	-30.554	1.163866e+05	7.044620e+04	2.723866e+05	0.026	73.420	3	13.540	50.751	14.042
run0006	MergerID000247	-176.243	84.502	2.014192e+05	1.084192e+05	2.243205e+05	0.046	26.471	3	16.270	21.743	3.802
run0006	MergerID000259	52.616	-62.865	2.471940e+05	1.411940e+05	2.927091e+05	0.056	33.077	3	12.960	34.101	6.521
run0006	MergerID000316	-52.699	-60.611	2.608124e+05	1.388124e+05	3.828124e+05	0.059	50.848	3	13.230	150.299	23.628
run0006	MergerID000334	-39.151	-25.693	2.334898e+05	1.444898e+05	3.224898e+05	0.053	45.793	2	14.820	916.430	223.711
run0006	MergerID000344	-24.097	-26.346	2.873516e+05	1.853516e+05	3.893516e+05	0.065	44.199	3	12.770	153.751	23.097
run0006	MergerID000350	-90.488	65.950	2.022401e+05	1.032401e+05	2.146972e+05	0.046	19.761	3	14.090	23.407	6.382
run0006	MergerID000368	-81.082	-44.820	2.395308e+05	1.265308e+05	2.617338e+05	0.054	24.036	3	12.470	238.232	49.587
run0006	MergerID000412	145.097	-28.823	5.728803e+04	3.528803e+04	7.373934e+04	0.013	40.285	3	33.320	5.492	1.548
run0006	MergerID000429	-108.138	-80.493	2.408088e+05	1.228088e+05	2.537726e+05	0.054	18.514	3	13.130	22.976	5.865
run0007	MergerID000071	-72.375	-31.059	1.065909e+05	8.232461e+04	3.185909e+05	0.024	82.075	2	18.050	449.088	147.427
run0007	MergerID000072	169.358	24.826	3.523345e+05	1.743345e+05	3.597694e+05	0.080	11.699	3	13.550	48.116	10.131
run0007	MergerID000122	-18.214	-40.775	2.638815e+05	1.318815e+05	3.958815e+05	0.060	52.257	3	12.080	346.150	34.129
run0007	MergerID000159	-64.716	-28.800	3.295226e+05	1.625226e+05	3.356692e+05	0.075	11.007	2	12.750	929.387	225.429
run0007	MergerID000166	-177.132	53.301	3.006169e+05	1.866169e+05	4.146169e+05	0.068	45.789	3	13.150	555.127	128.477
run0007	MergerID000183	-173.797	57.081	3.610720e+05	1.770720e+05	3.670011e+05	0.082	10.334	3	12.850	139.646	9.522
run0007	MergerID000209	-8.984	-68.477	9.971633e+04	5.571633e+04	1.158872e+05	0.023	31.216	3	36.160	2.110	0.633
run0007	MergerID000222	-153.069	-21.675	1.114775e+05	5.847750e+04	1.644775e+05	0.025	51.069	2	12.650	635.883	187.149
run0007	MergerID000241	-150.979	39.359	1.135910e+05	5.559100e+04	1.155463e+05	0.026	10.578	3	35.710	1.523	0.443
run0007	MergerID000254	127.268	52.240	3.517892e+05	1.847892e+05	3.828124e+05	0.080	23.473	2	12.280	1489.327	331.101
run0007	MergerID000255	-3.403	67.452	1.142464e+05	6.024640e+04	1.682464e+05	0.026	50.806	3	15.640	18.287	4.902
run0007	MergerID000257	166.635	-1.748	2.817536e+05	1.507536e+05	3.120502e+05	0.064	25.785	3	13.800	373.499	85.503
run0007	MergerID000264	-170.190	5.935	1.875116e+05	1.065116e+05	2.199854e+05	0.042	32.168	2	16.270	518.487	127.402
run0007	MergerID000289	-166.555	30.823	2.372818e+05	1.342818e+05	2.772804e+05	0.054	31.774	3	14.530	25.863	6.778
run0007	MergerID000307	-58.375	-44.838	1.604795e+05	1.165867e+05	4.514795e+05	0.036	80.024	2	12.290	1548.864	464.969
run0007	MergerID000324	-49.057	-34.432	1.286755e+05	7.467550e+04	1.543287e+05	0.029	34.287	2	28.540	290.330	65.098
run0007	MergerID000346	73.630	-63.641	8.642098e+04	4.490394e+04	1.744210e+05	0.020	67.214	3	18.010	8.085	2.206
run0007	MergerID000353	30.721	28.462	1.402625e+05	7.426250e+04	1.537567e+05	0.032	24.464	3	16.770	90.218	23.202
run0007	MergerID000359	99.673	-20.030	2.548218e+05	1.308218e+05	2.700642e+05	0.058	19.483	3	12.090	94.021	22.553
run0007	MergerID000384	29.090	67.052	1.399553e+05	7.295530e+04	1.512462e+05	0.032	22.497	3	20.220	10.790	2.967
run0007	MergerID000390	-108.137	59.619	1.165411e+05	6.681996e+04	2.585411e+05	0.026	71.298	3	13.950	35.567	7.730
run0007	MergerID000393	-129.256	11.652	2.029469e+05	1.009469e+05	2.085467e+05	0.046	13.353	3	12.740	28.670	7.967
run0007	MergerID000401	140.393	34.443	3.175934e+05	1.815934e+05	3.747705e+05	0.072	32.741	2	13.980	1342.372	324.217
run0007	MergerID000428	62.535	-39.772	7.703699e+04	3.627065e+04	1.410370e+05	0.017	62.782	3	23.900	4.155	1.224
run0007	MergerID000443	132.136	60.011	1.541081e+05	8.217706e+04	3.181081e+05	0.035	68.320	3	15.780	46.293	9.837
run0008	MergerID000027	-20.185	-79.128	2.302907e+05	1.142907e+05	2.366402e+05	0.052	13.348	3	17.680	8.640	2.343
run0008	MergerID000037	108.673	11.187	2.378027e+05	1.338027e+05	2.774845e+05	0.054	31.627	3	13.670	126.494	34.044
run0008	MergerID000105	-60.071	-44.276	3.070707e+05	1.690707e+05	3.496147e+05	0.069	29.030	2	12.890	1010.732	247.067
