run MergerID RA Dec Distance DistMin DistMax redshift theta ndet SNR A90 A50
run0490 MergerID000070 -1.749 21.694 288468.6 139468.6 288930.5 0.065 3.241 3.0 12.35 329.226 83.824
run0493 MergerID000305 -157.906 -0.491 188027.9 91027.9 188121.7 0.043 1.81 2.0 14.78 583.611 158.141
run0494 MergerID000343 11.647 -24.377 311724.8 150724.8 311878.8 0.07 1.801 2.0 12.8 1463.951 341.855
run0496 MergerID000067 152.021 29.202 299984.3 145984.3 301062.2 0.068 4.852 2.0 15.3 845.929 216.407
run0496 MergerID000386 -154.192 15.026 194821.4 93821.4 194868.0 0.044 1.253 3.0 18.16 13.625 3.66
run0498 MergerID000059 -32.146 -29.772 323626.5 156626.5 323891.7 0.073 2.319 2.0 14.03 1028.581 265.518
run0498 MergerID000071 -16.868 11.488 218535.5 105535.5 218750.9 0.049 2.543 3.0 16.1 59.842 17.114
run0501 MergerID000313 -40.403 -44.583 320193.4 155193.4 320439.3 0.072 2.245 2.0 14.32 907.512 187.307
run0506 MergerID000064 -96.228 43.273 174515.3 84515.3 175092.1 0.039 4.654 3.0 19.93 8.275 2.325
run0509 MergerID000172 -25.459 -24.929 366539.9 177539.9 366966.1 0.083 2.762 2.0 12.92 1226.995 371.492
run0512 MergerID000238 161.118 26.095 420213.3 204213.3 421317.3 0.095 4.15 3.0 12.1 567.179 111.993
run0522 MergerID000294 157.414 9.789 321155.7 155155.7 321287.6 0.073 1.642 2.0 12.1 1334.11 346.786
run0524 MergerID000091 6.583 0.369 201813.9 97813.9 202435.2 0.046 4.492 2.0 17.8 416.88 102.984
run0524 MergerID000291 75.325 48.151 143253.0 69253.0 143328.3 0.032 1.857 2.0 18.09 377.367 97.581
run0529 MergerID000045 157.728 -19.02 192720.7 92720.7 193068.2 0.044 3.439 2.0 14.0 1029.971 180.789
run0533 MergerID000171 -28.918 -50.169 283323.9 137323.9 283877.0 0.064 3.578 2.0 15.4 845.038 214.794
run0535 MergerID000181 -149.91 36.447 286746.3 138746.3 287311.1 0.065 3.594 2.0 12.31 1587.314 454.163
run0539 MergerID000076 -67.056 -9.97 275995.6 133995.6 276577.1 0.062 3.717 2.0 14.04 927.839 242.674
run0545 MergerID000361 159.702 41.844 438445.9 212445.9 439117.1 0.099 3.169 2.0 13.0 1229.093 376.318
run0550 MergerID000494 -60.527 5.889 164723.9 79723.9 165166.3 0.037 4.196 2.0 17.3 853.994 264.207
run0551 MergerID000099 -19.964 -31.295 386421.9 187421.9 386636.7 0.087 1.91 2.0 12.18 1762.831 601.826
run0554 MergerID000358 131.343 36.535 295218.4 143218.4 296286.2 0.067 4.868 2.0 14.11 1022.64 270.41
run0556 MergerID000312 -25.232 -47.339 283189.5 137189.5 283613.8 0.064 3.135 2.0 15.14 867.462 217.416
run0559 MergerID000332 146.118 21.225 286725.6 138725.6 286838.1 0.065 1.605 2.0 15.96 958.657 244.195
run0563 MergerID000044 -51.662 -28.212 201586.7 97586.7 201604.7 0.046 0.765 2.0 20.68 605.157 174.376
run0566 MergerID000373 10.358 3.99 249421.3 120421.3 249964.8 0.056 3.78 2.0 13.4 782.182 207.03
run0568 MergerID000056 -151.58 -13.578 203732.9 98732.9 204040.9 0.046 3.149 2.0 12.61 958.355 249.847
run0569 MergerID000136 -22.887 8.414 187342.9 90342.9 187629.9 0.042 3.17 2.0 17.03 737.516 183.622
run0573 MergerID000478 -162.101 35.253 262887.7 126887.7 263560.5 0.059 4.096 2.0 13.07 794.968 202.978
